Material,Supplier/Supplying Plant,Still to be delivered (qty)
20053739,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20015674,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20014217,1014568    M K Industries,2
20005570,1014578    Eva Technologies,2
20011166,1017503    Aarav Precision,2
20010173,1017503    Aarav Precision,4
20002507,1014829    7N Tech,59
20001435,1014785    Aarav Engineering,2
20001295,1014785    Aarav Engineering,4
20001295,1014785    Aarav Engineering,7
20053873,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20011166,1017503    Aarav Precision,4
20005668,1014662    C-Tech Innovative Manufacaturers,1
20053217,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20014217,1014568    M K Industries,2
20005657,1014702    Aspire Precision Technologies,175
30011641,2000174    Tedisa-Tecnicas De Division,3
30011746,2000129    Mayr Power Transmission - Chr,50
30000865,2000113    Precision Tool Makers Export Group,2
30011639,2000174    Tedisa-Tecnicas De Division,6
,,
