Material,Supplier/Supplying Plant,Still to be delivered (qty)
10014497,1015072    Sri Balaji Solutions,165
30011641,2000174    Tedisa-Tecnicas De Division,14
20053850,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20060716,1014820    M P P Technologies Pvt Ltd,5
20063596,1014820    M P P Technologies Pvt Ltd,5
20063599,1014820    M P P Technologies Pvt Ltd,5
20064033,1014820    M P P Technologies Pvt Ltd,5
20053739,1015169    AMS Bhargava Machining Pvt. Ltd.,4
20053324,1014578    Eva Technologies,5
20060729,1015280    Sri Sai Industries Unit-1,15
20098424,1014589    YSL Electronics,35
30002033,1014934    THK India Pvt. Ltd.,30
30002033,1014934    THK India Pvt. Ltd.,30
30001885,1014934    THK India Pvt. Ltd.,40
30002091,1014934    THK India Pvt. Ltd.,40
30002092,1014934    THK India Pvt. Ltd.,40
30001885,1014934    THK India Pvt. Ltd.,40
30002091,1014934    THK India Pvt. Ltd.,40
30002092,1014934    THK India Pvt. Ltd.,40
30001885,1014934    THK India Pvt. Ltd.,16
30002091,1014934    THK India Pvt. Ltd.,16
30002092,1014934    THK India Pvt. Ltd.,16
30002039,1014934    THK India Pvt. Ltd.,30
30002013,1014934    THK India Pvt. Ltd.,20
30002005,1014934    THK India Pvt. Ltd.,20
30002185,1014934    THK India Pvt. Ltd.,4
20054422,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20054422,1015169    AMS Bhargava Machining Pvt. Ltd.,8
30012204,2000183    Precision Motion Industries Inc,15
30012203,2000183    Precision Motion Industries Inc,15
30012201,2000183    Precision Motion Industries Inc,15
30012070,2000183    Precision Motion Industries Inc,10
30012070,2000167    Hiwin Technologies Corporation,15
20058589,1017253    P N P Industries,15
20066736,1016312    Sahara Solutions,2
30002627,1014604    Cenlub Industries Ltd.,117
30002615,1014604    Cenlub Industries Ltd.,29
10003569,1016649    Divya Enterprises,45
38000026,1016828    Fanuc India Pvt Ltd,11
38000492,1016828    Fanuc India Pvt Ltd,4
38001730,1016828    Fanuc India Pvt Ltd,5
20067195,1016726    Sur Armour Pvt Ltd,9
20067043,1016726    Sur Armour Pvt Ltd,15
20066940,1016726    Sur Armour Pvt Ltd,2
20066757,1016726    Sur Armour Pvt Ltd,3
20067420,1016726    Sur Armour Pvt Ltd,37
30001885,1014934    THK India Pvt. Ltd.,120
30002047,1014934    THK India Pvt. Ltd.,120
20053770,1015169    AMS Bhargava Machining Pvt. Ltd.,1
30011746,2000129    Mayr Power Transmission - Chr,120
20053658,1015589    Mythri Metallizing India Unit-2,3
30011663,1014639    Miki Pulley India Pvt Ltd,36
30011713,1014639    Miki Pulley India Pvt Ltd,60
30011714,1014639    Miki Pulley India Pvt Ltd,90
30011753,1014639    Miki Pulley India Pvt Ltd,60
20013022,1014796    Sharath Engineering,39
20013024,1014796    Sharath Engineering,37
20001406,1014785    Aarav Engineering,142
20001421,1014662    C-Tech Innovative Manufacaturers,21
20005366,1014662    C-Tech Innovative Manufacaturers,112
20005926,1014662    C-Tech Innovative Manufacaturers,142
20006309,1014662    C-Tech Innovative Manufacaturers,3
20006351,1014662    C-Tech Innovative Manufacaturers,12
20006459,1014662    C-Tech Innovative Manufacaturers,40
20000938,1017395    Dynamic Systems,170
20053658,1015180    Mythri Metallizing India (Unit-03),1
38000412,1016828    Fanuc India Pvt Ltd,1
38000493,1016828    Fanuc India Pvt Ltd,1
38000116,1016828    Fanuc India Pvt Ltd,2
38001730,1016828    Fanuc India Pvt Ltd,10
30011753,1014639    Miki Pulley India Pvt Ltd,20
20023878,1015280    Sri Sai Industries Unit-1,6
10022181,1014584    Yashasvi Enterprises,345
20008749,1014590    GK Industries,2
20010697,1014590    GK Industries,1
30002627,1014604    Cenlub Industries Ltd.,23
30002615,1014604    Cenlub Industries Ltd.,4
30006433,1017135    Fluid Logic Systems Pvt Ltd,30
20023878,1015280    Sri Sai Industries Unit-1,5
20004510,1014688    Progressive Systems,2
20067312,1016312    Sahara Solutions,16
20067310,1016312    Sahara Solutions,8
20067311,1016312    Sahara Solutions,8
20006351,1014662    C-Tech Innovative Manufacaturers,17
20006459,1014662    C-Tech Innovative Manufacaturers,14
20011782,1017018    Concentra Precision Technologies,10
20010561,1017018    Concentra Precision Technologies,10
20054074,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20053658,1005196    Ace Multi Axes Systems Ltd.,3
20015674,1015291    V M Sakthi Industries,1
20053715,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20053726,1015803    Amace Solutions Pvt. Ltd.,1
20053837,1015803    Amace Solutions Pvt. Ltd.,3
20054043,1015803    Amace Solutions Pvt. Ltd.,2
20053267,1015803    Amace Solutions Pvt. Ltd.,6
38001141,1016828    Fanuc India Pvt Ltd,2
38001150,1016828    Fanuc India Pvt Ltd,210
20054409,1014688    Progressive Systems,5
20015674,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20001423,1016514    Manjunatha Industries,230
20001435,1016514    Manjunatha Industries,104
20058589,1017253    P N P Industries,1
20000944,1015512    SRS Tools,27
20010287,1017395    Dynamic Systems,87
20010288,1017395    Dynamic Systems,87
20000944,1015512    SRS Tools,3
20054043,1014599    Asiaan Metals & Aluminium Casting,2
30012203,2000183    Precision Motion Industries Inc,12
30012201,2000183    Precision Motion Industries Inc,12
20010173,1017395    Dynamic Systems,49
20054006,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20050885,1014590    GK Industries,1
20053632,1014697    AMS Bhargava Machining Pvt. Ltd.,2
20058589,1017253    P N P Industries,10
20011166,1017503    Aarav Precision,236
20052650,1014598    Ams Precision Products Pvt Ltd,1
20000944,1015512    SRS Tools,2
20023878,1015081    Dhamini Metal Packing,1
20053715,1015180    Mythri Metallizing India (Unit-03),1
20054409,1014688    Progressive Systems,3
20005261,1014688    Progressive Systems,1
20023878,1015280    Sri Sai Industries Unit-1,10
20054045,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20005261,1014578    Eva Technologies,3
20010962,1014578    Eva Technologies,6
20053323,1014578    Eva Technologies,3
20053324,1014578    Eva Technologies,3
30012103,2000183    Precision Motion Industries Inc,25
20066757,1016726    Sur Armour Pvt Ltd,2
10003767,1014807    Sri Shriya Control Systems,150
10000675,1016874    S R Enterprises,30
30000505,1014973    Pragati Automation Pvt. Ltd.,235
20053770,1014697    AMS Bhargava Machining Pvt. Ltd.,1
30001885,1014934    THK India Pvt. Ltd.,60
30002047,1014934    THK India Pvt. Ltd.,60
30001885,1014934    THK India Pvt. Ltd.,140
30002091,1014934    THK India Pvt. Ltd.,140
30002047,1014934    THK India Pvt. Ltd.,140
30001885,1014934    THK India Pvt. Ltd.,100
30002091,1014934    THK India Pvt. Ltd.,100
30002047,1014934    THK India Pvt. Ltd.,100
30001885,1014934    THK India Pvt. Ltd.,40
30002091,1014934    THK India Pvt. Ltd.,40
30002092,1014934    THK India Pvt. Ltd.,40
30002039,1014934    THK India Pvt. Ltd.,20
30002148,1015585    Schneeberger India Pvt Ltd,4
20067117,1016312    Sahara Solutions,1
20053217,1014697    AMS Bhargava Machining Pvt. Ltd.,3
20053833,1015291    V M Sakthi Industries,2
20000944,1015048    K S P Engineering Works,-1
20009226,1014590    GK Industries,13
10003802,1016649    Divya Enterprises,510
30016934,1019830    Poojapower Control & Automation,115
30016945,1019830    Poojapower Control & Automation,145
30017001,1019830    Poojapower Control & Automation,190
20054299,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20098410,1014589    YSL Electronics,318
20054001,1015501    Hadinakal Systems,1
20003401,1014702    Aspire Precision Technologies,3
30001885,1014934    THK India Pvt. Ltd.,10
30002091,1014934    THK India Pvt. Ltd.,60
30002092,1014934    THK India Pvt. Ltd.,4
30002185,1014934    THK India Pvt. Ltd.,4
30012103,2000183    Precision Motion Industries Inc,15
30000300,1017341    Universal Precision Tools,16
20005366,1014662    C-Tech Innovative Manufacaturers,16
20011010,1014688    Progressive Systems,2
20011010,1014688    Progressive Systems,2
30018480,1018095    Krushi Solutions,385
20009896,1015026    Accuspirals,40
20053267,1015169    AMS Bhargava Machining Pvt. Ltd.,2
30002412,1017394    Durga Bearings Co Pvt Ltd,94
30016988,1015422    Kabel Corporation,65
30016403,1017427    Digital Instruments And Control,220
30016404,1017427    Digital Instruments And Control,35
20053658,1014697    AMS Bhargava Machining Pvt. Ltd.,2
20053726,1014697    AMS Bhargava Machining Pvt. Ltd.,1
20054409,1014688    Progressive Systems,1
30017005,1017128    Kreatronix Electric Pvt Ltd,181
20054409,1014688    Progressive Systems,8
20054404,1014688    Progressive Systems,14
20005261,1014578    Eva Technologies,9
20053323,1014578    Eva Technologies,1
20054074,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20054001,1015501    Hadinakal Systems,1
20053985,1014688    Progressive Systems,4
30005901,1017567    Reach Pneumatics,128
30004304,1016538    Precision Engineering Accessories,20
30003594,1016538    Precision Engineering Accessories,32
30005200,1016884    S M C Corporation India Pvt Ltd,59
30005697,1016884    S M C Corporation India Pvt Ltd,49
30005746,1016884    S M C Corporation India Pvt Ltd,150
20005366,1014662    C-Tech Innovative Manufacaturers,6
20014022,1014568    M K Industries,70
20014217,1015467    Rakidev Accutech Pvt Ltd,10
20010532,1014598    Ams Precision Products Pvt Ltd,58
20010554,1014598    Ams Precision Products Pvt Ltd,20
10002664,1014720    Lakshmi Controls & Instruments,1
30002615,1014604    Cenlub Industries Ltd.,5
30011713,1014639    Miki Pulley India Pvt Ltd,20
