Material,Qty in unit of entry
20006351,4
20006459,8
20053658,2
20053837,1
20054404,15
20060729,3
20066757,3
20066940,20
20067163,20
20067163,12
20067310,5
20067311,5
20067312,10
20098191,20
20098263,5
30000505,8
30005746,50
30012070,10
10002664,1
10003891,40
20000938,30
20001406,56
20001422,6
20004510,2
20004510,3
20005926,16
20006351,2
20010503,10
20010554,9
20010554,30
20010554,1
20011010,3
20020652,3
20023878,2
20053658,1
20053837,2
20054043,3
20067001,5
20067163,3
20098191,10
20098263,10
20098410,25
20098424,10
30004303,25
30004304,25
30016403,25
30016404,5
30016988,15
30018480,130
20001423,54
20001435,10
20001435,4
20020652,20
20023878,1
20053837,4
20058589,33
20098191,10
20098191,10
20098263,10
20098306,10
30001639,100
30001640,200
30001644,30
30001885,40
30001885,20
30002005,10
30002033,20
30002034,20
30002039,20
30002039,80
30002039,10
30002039,20
30002039,70
30002047,20
30002047,10
30002047,10
30002091,60
30002496,25
30002615,25
30002627,25
30002627,25
38000003,4
38000003,12
38001168,15
20000938,18
20000938,12
20000942,30
20010532,48
20010532,3
20012603,16
20054045,2
20010735,2
30011753,3
20002507,30
20010962,2
20010982,-2
20011010,1
20058589,57
30001640,200
30002005,30
30002013,30
30002412,9
30002412,5
30002412,6
38000026,2
20005261,6
20052650,9
30000211,30
30011663,10
30011753,8
