Material ID,Material Description
30002111,1MRS55-N-G1-KC-R1-1737/-28.5-28.5 CN
30002141,1MRS55-N-G1-KC-R1-1617-28.5-28.5-CN
20010947,HOUSING HEADSTOCK-DIA70/DIA80
30000156,ROTARY COOLANT UNION 1109-020-188
20054045,STRUCTURE SADDLE
20054409,TABLE
30002136,1MRS45-N-G1-KC-R1-1572.5-25-25-CN
30002148,1MRS35-N-G1-KC-R1-1477-18.5-18.5-S70
20010962,HOUSING HEAD STOCK
30012130,"BS & N, R40-20C1-FDT-851-1167-0.008(HIWI"
30012220,BS&N SDAN4016VAXS-5TTG0-1050LC3 (THK)
30000211,"ROTARY COOLANT UNION,903-120-188,DEUBLIN"
30012103,BS&N 1R40-16T4-1FDDC-1325-1597-0.008
20054404,TABLE
30012070,BS & N 1R36-20C1-FDW-1012-1265-0.008
20010982,HOUSING HEAD STOCK
30012212,BS&N BIF4020VS-10RRG0+1167LC3 THK
30002013,LMG-SRG 35LC 2SS HCOE/1SSCOE+1920LP-II
20010913,HOUSING HEAD STOCK
30003169,ACCUMULATOR 10 LTR.
20098191,ISOLATION ALUMINIUM TRANSFORMER-22.5KVA
20010904,HOUSING HEADSTOCK
30012204,BS&N 1R32-10T5-1FDDC-995.5-1265-0.008
30012097,BS&NUT-BIF4012VE-7RRG0+1110LC3(THK MAKE)
38000872,MACHINE OPERATOR'S PANEL (FANUC)
20052650,SPINDLE D70 BBT40
30002005,LMG-SRG45LR2SSHCOE+1310LP-II
30004484,MANIFOLD BLOCK ASSEMBLY
20098263,ISOLATION TRANSFORMER-17.5KVA
30012201,BS&N 1R32-12T5-1FDDC-751.5-1021-0.008
30012250,BS &NUT -SDAN3216VAXS-5TTGO-895LC3(THK
30012205,BS &NUT -SDAN3216VAXS-5TTGO-895LC3(THK
30012206,BS &NUT -SDAN3216VAXS-5TTGO-771LC3
30012203,BS&N 1R32-10T5-1FDDC-648.5-918-0.008
20098306,ISOLATION TRANSFORMER-14.5KVA(E-POWER)
30002092,LMG-SRG45LC2SSHCOE+1100LP-II
20013348,PLATE RECIEVER
30001885,LM GUIDEWAY SRG35LC2SSHCOE+1480 LPII
30018257,AIR COOLER-TURBO-TU-1000-M23-ADVANCE
30004303,HYDPNE TDL CYL-PCS3-8045-AM12-CV-13MM ST
30004304,HYDPNE INTFR-8025-V090-MP-CV
30011746,CPG ROBA ES 48/940.011.AS-D60H7-D38F7
20053323,STRUCTURE GEN LOADING STATION BOTTOM
20001456,HEIGHT BLOCK
20067117,TELESCOPIC COVER
20010554,HOUSING CARTRIDGE
20004510,BRACKET MOUNTING
20053324,STRUCTURE GEN LOADING STATION-TOP
30002091,LMG-SRG35LC2SSHCOE+1078LP-II
30018259,AIR COOLER TURBO TU-700-A56 ADVANCE MAKE
20010503,HOUSING CATRIDGE
20066940,TELESCOPIC COVER (Y-AXIS REAR)
30002034,LMG SRG35C2SSHCOE+1184LP-II
30002047,LMG SRG35LC2SSHC0E+1038LP-II(B)
30002033,LMG SRG35LC2SSHCOE+1038LP-II
20005261,BRACKET MTG-ATC-24TOOL-WITH KEY WAY
20060716,ELEC. CABINET (STD)
20060729,ELE. CABINET (VMC 1060)
30002615,LUB ALU05-5L-PS-FS-.12Kw-380-415V-50Hz3P
20060720,ELEC. CABINET (MCV-500)
30002039,L.M.GUIDEWAY-SRG35LR2SSC0E+1140LP-II
20010532,HOUSING CARTRIDGE
20067311,TELESCOPIC COVER-Y AXIS REAR
30001655,ACBB 60BNR10ETYNDUELP4-NSK
30002495,PUMP RKM206/270-9C-1.5KW-380-415V-50HZ
20005570,BRACKET ATC MOUNTING
20067143,TELESCOPIC COVER (Y-AXIS FRONT THK ROLR)
30000352,CHIP TROLLEY-COMP
30002253,L.M.G MSA35LE2SSF1A+R1040-40/40PII
30002037,LMG SRG30C2SSHC0E+1040LP-II
30005200,SENSOR+PR.SWITCH-ISE20-ISA3-X1Z20135B
20011782,ACTUATOR-HSK-A63
30002038,LMG SRG30C2SSHC0E+840LP-II
20098424,"NEW SEALED KEYBOARD WITH TOSOKU SWITCHS,"
30016404,FUJI MAKE 1.5KW VFD I/P:380-480V 3PHASE
20001422,BLOCK HEIGHT
20067310,TELESCOPIC COVER-Y AXIS FRONT
30016385,HAND HELD MPG SET PART NO.HDW-BACS-IM(G)
30002250,L.M.G MSA30LE2SSF1A+R1420-30/30PII
20001421,BLOCK HEIGHT 150 MM HEIGHT BLOCK
30002627,LUB ALU03-3L-PS-FS-.12Kw-380-415V-50Hz3P
20067195,TELESCOPIC COVER X AXIS RH
20098404,NEW SEALED KEYBOARD WITH TOSOKU SWITCHS
20098461,NEW SEALED KEYBOARD WITH TOOL STN DISPLY
20009896,RACK
30016403,FUJI MAKE 0.75KW VFD I/P:380-480V 3PHASE
20006351,BRACKET M/C LIFTING LH
10000675,A01112-CHIP CONV CTRL BOX-16PIN(0.37KW)
20006309,BRACKET (LIFTING BRACKET-RH)
30005746,AC40-X1B20016A-FRL-SMC
10002664,A01112-CHIP CONV. CTRL BOX-(0.37KW)
30016934,CONTACTOR 230VAC(LC1D95 M7)-SCHNEIDER
20067312,TELESCOPIC COVER-X AXIS
